                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.93536,                 2.7891,                  1.411,                0.00053,                      1,                0.01298,                0.00268,                 1.3047,                 11.503,                 2.0328,                  2e-05,                  2e-05,                  2e-05
                      2,                 1.1376,                 2.6863,                  1.496,                0.00053,                      1,                0.01721,                 0.0048,                0.95637,                 12.172,                 1.5393,              5.703e-05,              5.703e-05,              5.703e-05
                      3,                 1.0781,                 2.5606,                 1.4427,                0.00053,                      1,                0.04399,                0.02102,                 0.4618,                 8.9247,                 1.1288,               9.01e-05,               9.01e-05,               9.01e-05
                      4,                0.90815,                 2.4029,                 1.3728,                0.00053,                      1,                 0.1396,                0.10272,                0.37584,                 8.1078,                 1.0497,             0.00011921,             0.00011921,             0.00011921
                      5,                0.69013,                 1.9109,                 1.1919,                0.00053,                      1,                0.23542,                0.19527,                0.37351,                  8.045,                0.95113,             0.00014436,             0.00014436,             0.00014436
                      6,                0.81157,                  1.616,                 1.3138,                0.00053,                      1,                0.19375,                 0.1683,                0.36268,                 8.0584,                0.95369,             0.00016555,             0.00016555,             0.00016555
                      7,                0.56971,                 1.2847,                 1.1327,                0.00053,                      1,                0.16583,                0.15347,                0.32069,                 8.0453,                0.99378,             0.00018278,             0.00018278,             0.00018278
                      8,                0.65968,                 1.2893,                 1.1268,                0.00053,                      1,                0.18656,                  0.167,                0.37618,                 8.0844,                 1.0635,             0.00019605,             0.00019605,             0.00019605
                      9,                0.65884,                 1.3128,                 1.1456,                0.00053,                      1,                0.18656,                0.15757,                0.50723,                 7.8688,                 1.1371,             0.00020536,             0.00020536,             0.00020536
                     10,                0.59315,                 1.0851,                 1.1735,                0.00053,                      1,                0.15711,                0.14139,                0.54656,                 8.4375,                 1.1513,             0.00021071,             0.00021071,             0.00021071
                     11,                0.53399,                 1.7388,                 1.1004,                0.00053,                      1,                0.15711,                0.12278,                0.57621,                 8.7079,                 1.1921,              0.0002121,              0.0002121,              0.0002121
                     12,                0.50635,                 1.6397,                 1.0992,                0.00053,                      1,                0.15711,                0.12305,                0.62361,                 8.7361,                 1.1993,             0.00020953,             0.00020953,             0.00020953
                     13,                0.49741,                 1.6334,                 1.0675,                0.00053,                      1,                0.15711,                 0.1242,                0.57809,                 9.3457,                 1.2432,               0.000203,               0.000203,               0.000203
                     14,                 0.4157,                 1.5084,                 0.9643,                0.00053,                      1,                0.14925,                0.11427,                0.66373,                 9.7694,                 1.2903,             0.00019251,             0.00019251,             0.00019251
                     15,                0.47921,                 1.6509,                 1.0754,                0.00053,                      1,                0.14925,                0.09705,                0.86693,                 9.7298,                 1.4384,             0.00017806,             0.00017806,             0.00017806
                     16,                0.50818,                 1.6764,                 1.0801,                0.00053,                      1,                0.13568,                0.08619,                0.91535,                 10.058,                  1.531,             0.00015965,             0.00015965,             0.00015965
                     17,                 0.4573,                 1.5237,                 1.0997,                0.00053,                      1,                0.14925,                0.09471,                0.87265,                 10.454,                 1.5024,             0.00013728,             0.00013728,             0.00013728
                     18,                0.42321,                 1.5337,                 1.0198,                 0.0009,                      1,                0.16583,                0.10058,                0.85754,                 9.9982,                 1.4938,             0.00011095,             0.00011095,             0.00011095
                     19,                0.39473,                 1.4211,                 0.9001,                0.15422,                0.91539,                0.16583,                0.11951,                 0.8355,                 9.7395,                 1.4442,              8.066e-05,              8.066e-05,              8.066e-05
                     20,                0.37597,                 1.4227,                0.96428,                0.09821,                0.33333,                  0.177,                0.13524,                0.76017,                 9.8481,                 1.3938,              4.641e-05,              4.641e-05,              4.641e-05
